No.,Fecha inicial corte,Fecha final corte,Departamento,Municipio,Comunidad (Si aplica),Clasificación,Tema,Subtema,Tipo de dato (medida),No. De personas/porcentaje/eventos,No. De mujeres mayores de edad,No. De hombres mayores de edad,No. De mujeres menores de edad,No. De hombres menores de edad,Madres gestantes,Grupo étnico,Si es indígena indique pueblo,Texto descriptivo,Link información,Link Registro fotográfico,Observación
20,2020-03-02,2021-08-29,ANTIOQUIA,ANORI,No indica,Análisis situacional,COVID 19,Contagio,Número,260.0,120,129,5,6,No indica,No indica,No indica,En el municipio de ANORI se tiene un total de Contagio 260,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
21,2020-03-02,2021-08-29,ANTIOQUIA,ANZA,No indica,Análisis situacional,COVID 19,Contagio,Número,257.0,116,125,9,7,No indica,No indica,No indica,En el municipio de ANZA se tiene un total de Contagio 257,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
22,2020-03-02,2021-08-29,ANTIOQUIA,APARTADO,No indica,Análisis situacional,COVID 19,Contagio,Número,12190.0,5406,5876,454,454,No indica,No indica,No indica,En el municipio de APARTADO se tiene un total de Contagio 12190,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
23,2020-03-02,2021-08-29,ANTIOQUIA,ARBOLETES,No indica,Análisis situacional,COVID 19,Contagio,Número,1100.0,516,469,61,54,No indica,No indica,No indica,En el municipio de ARBOLETES se tiene un total de Contagio 1100,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
24,2020-03-02,2021-08-29,ANTIOQUIA,ARGELIA,No indica,Análisis situacional,COVID 19,Contagio,Número,140.0,68,64,3,5,No indica,No indica,No indica,En el municipio de ARGELIA se tiene un total de Contagio 140,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
25,2020-03-02,2021-08-29,ANTIOQUIA,ARMENIA,No indica,Análisis situacional,COVID 19,Contagio,Número,78.0,41,36,0,1,No indica,No indica,No indica,En el municipio de ARMENIA se tiene un total de Contagio 78,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
26,2020-03-02,2021-08-29,ANTIOQUIA,BARBOSA,No indica,Análisis situacional,COVID 19,Contagio,Número,2708.0,1321,1211,101,75,No indica,No indica,No indica,En el municipio de BARBOSA se tiene un total de Contagio 2708,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
27,2020-03-02,2021-08-29,ANTIOQUIA,BELLO,No indica,Análisis situacional,COVID 19,Contagio,Número,61135.0,30880,25446,2460,2349,No indica,No indica,No indica,En el municipio de BELLO se tiene un total de Contagio 61135,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
28,2020-03-02,2021-08-29,ANTIOQUIA,BELMIRA,No indica,Análisis situacional,COVID 19,Contagio,Número,136.0,57,59,13,7,No indica,No indica,No indica,En el municipio de BELMIRA se tiene un total de Contagio 136,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
29,2020-03-02,2021-08-29,ANTIOQUIA,BETANIA,No indica,Análisis situacional,COVID 19,Contagio,Número,233.0,133,87,2,11,No indica,No indica,No indica,En el municipio de BETANIA se tiene un total de Contagio 233,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
30,2020-03-02,2021-08-29,ANTIOQUIA,BETULIA,No indica,Análisis situacional,COVID 19,Contagio,Número,225.0,108,100,9,8,No indica,No indica,No indica,En el municipio de BETULIA se tiene un total de Contagio 225,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
31,2020-03-02,2021-08-29,ANTIOQUIA,BOLIVAR,No indica,Análisis situacional,COVID 19,Contagio,Número,1796.0,855,750,106,85,No indica,No indica,No indica,En el municipio de BOLIVAR se tiene un total de Contagio 1796,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
32,2020-03-02,2021-08-29,ANTIOQUIA,BRICENO,No indica,Análisis situacional,COVID 19,Contagio,Número,145.0,85,47,11,2,No indica,No indica,No indica,En el municipio de BRICENO se tiene un total de Contagio 145,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
33,2020-03-02,2021-08-29,ANTIOQUIA,BURITICA,No indica,Análisis situacional,COVID 19,Contagio,Número,1147.0,290,835,15,7,No indica,No indica,No indica,En el municipio de BURITICA se tiene un total de Contagio 1147,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
34,2020-03-02,2021-08-29,ANTIOQUIA,CACERES,No indica,Análisis situacional,COVID 19,Contagio,Número,789.0,342,363,35,49,No indica,No indica,No indica,En el municipio de CACERES se tiene un total de Contagio 789,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
35,2020-03-02,2021-08-29,ANTIOQUIA,CAICEDO,No indica,Análisis situacional,COVID 19,Contagio,Número,175.0,85,82,3,5,No indica,No indica,No indica,En el municipio de CAICEDO se tiene un total de Contagio 175,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
36,2020-03-02,2021-08-29,ANTIOQUIA,CALDAS,No indica,Análisis situacional,COVID 19,Contagio,Número,14502.0,7104,6285,581,532,No indica,No indica,No indica,En el municipio de CALDAS se tiene un total de Contagio 14502,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
37,2020-03-02,2021-08-29,ANTIOQUIA,CAMPAMENTO,No indica,Análisis situacional,COVID 19,Contagio,Número,123.0,67,51,1,4,No indica,No indica,No indica,En el municipio de CAMPAMENTO se tiene un total de Contagio 123,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
38,2020-03-02,2021-08-29,ANTIOQUIA,CARACOLI,No indica,Análisis situacional,COVID 19,Contagio,Número,108.0,49,50,4,5,No indica,No indica,No indica,En el municipio de CARACOLI se tiene un total de Contagio 108,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
39,2020-03-02,2021-08-29,ANTIOQUIA,CARAMANTA,No indica,Análisis situacional,COVID 19,Contagio,Número,119.0,52,57,7,3,No indica,No indica,No indica,En el municipio de CARAMANTA se tiene un total de Contagio 119,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
40,2020-03-02,2021-08-29,ANTIOQUIA,CAREPA,No indica,Análisis situacional,COVID 19,Contagio,Número,3223.0,1210,1870,68,75,No indica,No indica,No indica,En el municipio de CAREPA se tiene un total de Contagio 3223,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
41,2020-03-02,2021-08-29,ANTIOQUIA,CARMEN DE VIBORAL,No indica,Análisis situacional,COVID 19,Contagio,Número,4717.0,2379,2013,180,145,No indica,No indica,No indica,En el municipio de CARMEN DE VIBORAL se tiene un total de Contagio 4717,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
42,2020-03-02,2021-08-29,ANTIOQUIA,CAROLINA,No indica,Análisis situacional,COVID 19,Contagio,Número,135.0,63,64,4,4,No indica,No indica,No indica,En el municipio de CAROLINA se tiene un total de Contagio 135,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
43,2020-03-02,2021-08-29,ANTIOQUIA,CAUCASIA,No indica,Análisis situacional,COVID 19,Contagio,Número,5592.0,2750,2401,240,201,No indica,No indica,No indica,En el municipio de CAUCASIA se tiene un total de Contagio 5592,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
44,2020-03-02,2021-08-29,ANTIOQUIA,CAÑASGORDAS,No indica,Análisis situacional,COVID 19,Contagio,Número,434.0,181,228,13,12,No indica,No indica,No indica,En el municipio de CAÑASGORDAS se tiene un total de Contagio 434,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
45,2020-03-02,2021-08-29,ANTIOQUIA,CHIGORODO,No indica,Análisis situacional,COVID 19,Contagio,Número,3058.0,1311,1575,89,83,No indica,No indica,No indica,En el municipio de CHIGORODO se tiene un total de Contagio 3058,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
46,2020-03-02,2021-08-29,ANTIOQUIA,CISNEROS,No indica,Análisis situacional,COVID 19,Contagio,Número,544.0,274,257,7,6,No indica,No indica,No indica,En el municipio de CISNEROS se tiene un total de Contagio 544,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
47,2020-03-02,2021-08-29,ANTIOQUIA,COCORNA,No indica,Análisis situacional,COVID 19,Contagio,Número,614.0,325,253,18,18,No indica,No indica,No indica,En el municipio de COCORNA se tiene un total de Contagio 614,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
48,2020-03-02,2021-08-29,ANTIOQUIA,CONCEPCION,No indica,Análisis situacional,COVID 19,Contagio,Número,239.0,89,131,10,9,No indica,No indica,No indica,En el municipio de CONCEPCION se tiene un total de Contagio 239,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
49,2020-03-02,2021-08-29,ANTIOQUIA,CONCORDIA,No indica,Análisis situacional,COVID 19,Contagio,Número,272.0,148,115,6,3,No indica,No indica,No indica,En el municipio de CONCORDIA se tiene un total de Contagio 272,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
50,2020-03-02,2021-08-29,ANTIOQUIA,COPACABANA,No indica,Análisis situacional,COVID 19,Contagio,Número,7881.0,3845,3476,275,285,No indica,No indica,No indica,En el municipio de COPACABANA se tiene un total de Contagio 7881,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
51,2020-03-02,2021-08-29,ANTIOQUIA,DABEIBA,No indica,Análisis situacional,COVID 19,Contagio,Número,1204.0,367,810,18,9,No indica,No indica,No indica,En el municipio de DABEIBA se tiene un total de Contagio 1204,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
52,2020-03-02,2021-08-29,ANTIOQUIA,DON MATIAS,No indica,Análisis situacional,COVID 19,Contagio,Número,1404.0,739,585,35,45,No indica,No indica,No indica,En el municipio de DON MATIAS se tiene un total de Contagio 1404,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
53,2020-03-02,2021-08-29,ANTIOQUIA,EBEJICO,No indica,Análisis situacional,COVID 19,Contagio,Número,371.0,192,168,6,5,No indica,No indica,No indica,En el municipio de EBEJICO se tiene un total de Contagio 371,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
54,2020-03-02,2021-08-29,ANTIOQUIA,EL BAGRE,No indica,Análisis situacional,COVID 19,Contagio,Número,2460.0,1057,1230,83,90,No indica,No indica,No indica,En el municipio de EL BAGRE se tiene un total de Contagio 2460,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
55,2020-03-02,2021-08-29,ANTIOQUIA,ENTRERRIOS,No indica,Análisis situacional,COVID 19,Contagio,Número,610.0,286,288,21,15,No indica,No indica,No indica,En el municipio de ENTRERRIOS se tiene un total de Contagio 610,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
56,2020-03-02,2021-08-29,ANTIOQUIA,ENVIGADO,No indica,Análisis situacional,COVID 19,Contagio,Número,29321.0,14278,13022,1011,1010,No indica,No indica,No indica,En el municipio de ENVIGADO se tiene un total de Contagio 29321,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
57,2020-03-02,2021-08-29,ANTIOQUIA,FREDONIA,No indica,Análisis situacional,COVID 19,Contagio,Número,1061.0,505,490,33,33,No indica,No indica,No indica,En el municipio de FREDONIA se tiene un total de Contagio 1061,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
58,2020-03-02,2021-08-29,ANTIOQUIA,FRONTINO,No indica,Análisis situacional,COVID 19,Contagio,Número,489.0,221,244,16,8,No indica,No indica,No indica,En el municipio de FRONTINO se tiene un total de Contagio 489,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
59,2020-03-02,2021-08-29,ANTIOQUIA,GIRALDO,No indica,Análisis situacional,COVID 19,Contagio,Número,305.0,80,210,9,6,No indica,No indica,No indica,En el municipio de GIRALDO se tiene un total de Contagio 305,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
60,2020-03-02,2021-08-29,ANTIOQUIA,GIRARDOTA,No indica,Análisis situacional,COVID 19,Contagio,Número,3928.0,1900,1678,177,173,No indica,No indica,No indica,En el municipio de GIRARDOTA se tiene un total de Contagio 3928,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
61,2020-03-02,2021-08-29,ANTIOQUIA,GOMEZ PLATA,No indica,Análisis situacional,COVID 19,Contagio,Número,231.0,114,102,8,7,No indica,No indica,No indica,En el municipio de GOMEZ PLATA se tiene un total de Contagio 231,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
62,2020-03-02,2021-08-29,ANTIOQUIA,GRANADA,No indica,Análisis situacional,COVID 19,Contagio,Número,233.0,118,104,7,4,No indica,No indica,No indica,En el municipio de GRANADA se tiene un total de Contagio 233,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
63,2020-03-02,2021-08-29,ANTIOQUIA,GUADALUPE,No indica,Análisis situacional,COVID 19,Contagio,Número,110.0,53,53,2,2,No indica,No indica,No indica,En el municipio de GUADALUPE se tiene un total de Contagio 110,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
64,2020-03-02,2021-08-29,ANTIOQUIA,GUARNE,No indica,Análisis situacional,COVID 19,Contagio,Número,5116.0,2500,2276,162,178,No indica,No indica,No indica,En el municipio de GUARNE se tiene un total de Contagio 5116,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
65,2020-03-02,2021-08-29,ANTIOQUIA,GUATAPE,No indica,Análisis situacional,COVID 19,Contagio,Número,488.0,239,215,17,17,No indica,No indica,No indica,En el municipio de GUATAPE se tiene un total de Contagio 488,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
66,2020-03-02,2021-08-29,ANTIOQUIA,HELICONIA,No indica,Análisis situacional,COVID 19,Contagio,Número,197.0,91,97,7,2,No indica,No indica,No indica,En el municipio de HELICONIA se tiene un total de Contagio 197,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
67,2020-03-02,2021-08-29,ANTIOQUIA,HISPANIA,No indica,Análisis situacional,COVID 19,Contagio,Número,217.0,110,96,7,4,No indica,No indica,No indica,En el municipio de HISPANIA se tiene un total de Contagio 217,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
68,2020-03-02,2021-08-29,ANTIOQUIA,ITAGUI,No indica,Análisis situacional,COVID 19,Contagio,Número,48264.0,23699,20954,1851,1760,No indica,No indica,No indica,En el municipio de ITAGUI se tiene un total de Contagio 48264,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
69,2020-03-02,2021-08-29,ANTIOQUIA,ITUANGO,No indica,Análisis situacional,COVID 19,Contagio,Número,1569.0,243,1305,8,13,No indica,No indica,No indica,En el municipio de ITUANGO se tiene un total de Contagio 1569,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
70,2020-03-02,2021-08-29,ANTIOQUIA,JARDIN,No indica,Análisis situacional,COVID 19,Contagio,Número,711.0,392,272,19,28,No indica,No indica,No indica,En el municipio de JARDIN se tiene un total de Contagio 711,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
71,2020-03-02,2021-08-29,ANTIOQUIA,JERICO,No indica,Análisis situacional,COVID 19,Contagio,Número,461.0,222,216,13,10,No indica,No indica,No indica,En el municipio de JERICO se tiene un total de Contagio 461,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
72,2020-03-02,2021-08-29,ANTIOQUIA,LA CEJA,No indica,Análisis situacional,COVID 19,Contagio,Número,6242.0,3024,2721,223,274,No indica,No indica,No indica,En el municipio de LA CEJA se tiene un total de Contagio 6242,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
73,2020-03-02,2021-08-29,ANTIOQUIA,LA ESTRELLA,No indica,Análisis situacional,COVID 19,Contagio,Número,6738.0,3407,2827,248,256,No indica,No indica,No indica,En el municipio de LA ESTRELLA se tiene un total de Contagio 6738,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
74,2020-03-02,2021-08-29,ANTIOQUIA,LA PINTADA,No indica,Análisis situacional,COVID 19,Contagio,Número,498.0,197,278,12,11,No indica,No indica,No indica,En el municipio de LA PINTADA se tiene un total de Contagio 498,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
75,2020-03-02,2021-08-29,ANTIOQUIA,LA UNION,No indica,Análisis situacional,COVID 19,Contagio,Número,1649.0,866,713,43,27,No indica,No indica,No indica,En el municipio de LA UNION se tiene un total de Contagio 1649,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
